"Time","total"
2020-08-08 11:00:00,
2020-08-08 13:00:00,
2020-08-08 15:00:00,
2020-08-08 17:00:00,
2020-08-08 19:00:00,
2020-08-08 21:00:00,
2020-08-08 23:00:00,
2020-08-09 01:00:00,
2020-08-09 03:00:00,
2020-08-09 05:00:00,
2020-08-09 07:00:00,
2020-08-09 09:00:00,
2020-08-09 11:00:00,
2020-08-09 13:00:00,
2020-08-09 15:00:00,
2020-08-09 17:00:00,
2020-08-09 19:00:00,
2020-08-09 21:00:00,
2020-08-09 23:00:00,
2020-08-10 01:00:00,
2020-08-10 03:00:00,
2020-08-10 05:00:00,
2020-08-10 07:00:00,
2020-08-10 09:00:00,
2020-08-10 11:00:00,
2020-08-10 13:00:00,
2020-08-10 15:00:00,
2020-08-10 17:00:00,
2020-08-10 19:00:00,
2020-08-10 21:00:00,
2020-08-10 23:00:00,
2020-08-11 01:00:00,
2020-08-11 03:00:00,
2020-08-11 05:00:00,
2020-08-11 07:00:00,
2020-08-11 09:00:00,
2020-08-11 11:00:00,
2020-08-11 13:00:00,
2020-08-11 15:00:00,
2020-08-11 17:00:00,
2020-08-11 19:00:00,
2020-08-11 21:00:00,
2020-08-11 23:00:00,
2020-08-12 01:00:00,
2020-08-12 03:00:00,
2020-08-12 05:00:00,
2020-08-12 07:00:00,
2020-08-12 09:00:00,
2020-08-12 11:00:00,
2020-08-12 13:00:00,
2020-08-12 15:00:00,
2020-08-12 17:00:00,
2020-08-12 19:00:00,
2020-08-12 21:00:00,
2020-08-12 23:00:00,
2020-08-13 01:00:00,
2020-08-13 03:00:00,
2020-08-13 05:00:00,
2020-08-13 07:00:00,
2020-08-13 09:00:00,
2020-08-13 11:00:00,
2020-08-13 13:00:00,
2020-08-13 15:00:00,
2020-08-13 17:00:00,
2020-08-13 19:00:00,
2020-08-13 21:00:00,
2020-08-13 23:00:00,
2020-08-14 01:00:00,
2020-08-14 03:00:00,
2020-08-14 05:00:00,
2020-08-14 07:00:00,
2020-08-14 09:00:00,
2020-08-14 11:00:00,
2020-08-14 13:00:00,
2020-08-14 15:00:00,
2020-08-14 17:00:00,
2020-08-14 19:00:00,
2020-08-14 21:00:00,
2020-08-14 23:00:00,
2020-08-15 01:00:00,
2020-08-15 03:00:00,
2020-08-15 05:00:00,
2020-08-15 07:00:00,
2020-08-15 09:00:00,
2020-08-15 11:00:00,
2020-08-15 13:00:00,
2020-08-15 15:00:00,
2020-08-15 17:00:00,
2020-08-15 19:00:00,
2020-08-15 21:00:00,
2020-08-15 23:00:00,
2020-08-16 01:00:00,
2020-08-16 03:00:00,
2020-08-16 05:00:00,
2020-08-16 07:00:00,
2020-08-16 09:00:00,
2020-08-16 11:00:00,
2020-08-16 13:00:00,
2020-08-16 15:00:00,
2020-08-16 17:00:00,
2020-08-16 19:00:00,
2020-08-16 21:00:00,
2020-08-16 23:00:00,
2020-08-17 01:00:00,
2020-08-17 03:00:00,
2020-08-17 05:00:00,
2020-08-17 07:00:00,
2020-08-17 09:00:00,
2020-08-17 11:00:00,
2020-08-17 13:00:00,
2020-08-17 15:00:00,
2020-08-17 17:00:00,
2020-08-17 19:00:00,
